Type,First Name,Date,Title/Description,Location,Image,,,,,,,,,,,,,,,,,,,,
Sculpture,Eileen Gay,2012,Pin Setting,National Bowling Stadium Museum - 300 N. Center Street,http://www.reno.gov/Home/ShowImage?id=6392&t,,,,,,,,,,,,,,,,,,,,
Mural,"YAW (Youth Art Works: David Tscheekar, John Coleman, and Paul Manktelow)",1999,Mural,Barbara Bennett Park - 400 Island Ave.,http://www.reno.gov/Home/ShowImage?id=297&t,,,,,,,,,,,,,,,,,,,,
Mural,YAW (Youth Art Works: John Coleman and Felicia Chamberlain),1999,Greek Legends,Plumas Park - 475 Monroe St,http://www.reno.gov/Home/ShowImage?id=298&t,,,,,,,,,,,,,,,,,,,,
Mural,YAW (Youth Art Works: Ray Valdez),2000,Mural,NE Community Center - 1301 Valley Rd.,http://www.reno.gov/Home/ShowImage?id=299&t,,,,,,,,,,,,,,,,,,,,
Mural,Lauren Gandolfo,2001,Mural,Peavine Elementary School - 1601 Grandview Ave,http://www.reno.gov/Home/ShowImage?id=6402&t,,,,,,,,,,,,,,,,,,,,
Mural,YAW (Youth Art Works: Ray Valdez),2002,Mural,TMWA Water Tank - Keystone and McCarran,http://www.reno.gov/Home/ShowImage?id=6404&t,,,,,,,,,,,,,,,,,,,,
Mural,YAW (You Art Works: John Coleman),2003,Mural,Idlewild Pool -1805 Idlewild Drive,http://www.reno.gov/Home/ShowImage?id=318&t,,,,,,,,,,,,,,,,,,,,
Mural,Jim Zlocovich,2003,Transcendence,Washoe County Courthouse - 75 Court Street,http://www.reno.gov/Home/ShowImage?id=6406&t,,,,,,,,,,,,,,,,,,,,
Mural,"YAW 
(Youth Art Works)",2008,Hole in One Mural,Plumas Tennis Court Mural next to Golf Course,http://www.reno.gov/Home/ShowImage?id=4065&t,,,,,,,,,,,,,,,,,,,,
Mural,Pan Pantoja,2012,Water,Keystone Bridge next to McKinley Arts and Culture Center,http://www.reno.gov/Home/ShowImage?id=6408&t,,,,,,,,,,,,,,,,,,,,
Benches,Pam Parenti,2000,Songbirds,Melody Lane Park - 2505 Melody Lane,http://www.reno.gov/Home/ShowImage?id=288&t,,,,,,,,,,,,,,,,,,,,
Benches,Marcella and Megan Yeates,2002,Swimming Bench,Valleywood Park - 6555 Valley Wood Drive,http://www.reno.gov/Home/ShowImage?id=6354&t,,,,,,,,,,,,,,,,,,,,
Benches,Chris Atcheson,2002,Granite Kiosk and Bench,"Seminary Park - 1101 Sierra Street, Evans and 9th and Evans and Record 
Street",http://www.reno.gov/Home/ShowImage?id=6441&t,,,,,,,,,,,,,,,,,,,,
Benches,Dominic Panziera and Daniela Garofalo,2006,Svirgola,Center Creek Park - 1595 Wilbur May Parkway,http://www.reno.gov/Home/ShowImage?id=287&t,,,,,,,,,,,,,,,,,,,,
Benches,Jeff Erickson,2006,Feather - ReTRAC Bench,ReTRAC Corridor,http://www.reno.gov/Home/ShowImage?id=302&t,,,,,,,,,,,,,,,,,,,,
Benches,Eileen Gay,2006,In the Chips - ReTRAC Bench,ReTRAC Corridor,http://www.reno.gov/Home/ShowImage?id=278&t,,,,,,,,,,,,,,,,,,,,
Benches,Bo Kempf,2006,Redirect Red Five -ReTRAC Bench,ReTRAC Corridor,http://www.reno.gov/Home/ShowImage?id=283&t,,,,,,,,,,,,,,,,,,,,
Benches,Randall Shiroma,2006,Untitled - ReTRAC Bench,ReTRAC Corridor,http://www.reno.gov/Home/ShowImage?id=4137&t,,,,,,,,,,,,,,,,,,,,
Benches,Randall Shiroma,2006,Untitled - ReTRAC Bench,ReTRAC Corridor,http://www.reno.gov/Home/ShowImage?id=6356&t,,,,,,,,,,,,,,,,,,,,
Benches,Benjamin Victor,2006,Untitled - ReTRAC Bench,ReTRAC Corridor,http://www.reno.gov/Home/ShowImage?id=294&t,,,,,,,,,,,,,,,,,,,,
Benches,Jim Zlokovich & Joe Zuccarini,2006,Untitled - ReTRAC Bench,ReTRAC Corridor,http://www.reno.gov/Home/ShowImage?id=300&t,,,,,,,,,,,,,,,,,,,,
Bike Racks,Tommy Shearer,2008,Dog Bike Rack,McKinley Arts & Culture Center,http://www.reno.gov/Home/ShowImage?id=6362&t,,,,,,,,,,,,,,,,,,,,
Bike Racks,Tommy Shearer,2008,Dog Bike Rack,Southside School - 190 East Liberty St.,http://www.reno.gov/Home/ShowImage?id=6475&t,,,,,,,,,,,,,,,,,,,,
Bike Racks,Tommy Shearer,2008,Easel Bike Rack,West Street Plaza - 220 West 1st Street,no image,,,,,,,,,,,,,,,,,,,,
Bike Racks,Tommy Shearer,2008,Cog Bike Rack,West Street Plaza - 220 West 1st Street,http://www.reno.gov/Home/ShowImage?id=6360&t,,,,,,,,,,,,,,,,,,,,
Bike Racks,Tommy Shearer,2008,Easle Bike Rack,3 N. Virginia Street,http://www.reno.gov/Home/ShowImage?id=4037&t,,,,,,,,,,,,,,,,,,,,
Bike Racks,Tommy Shearer,2008,Easle Bike Rack,Barbara Bennett Park - 400 Island Ave,http://www.reno.gov/Home/ShowImage?id=6368&t,,,,,,,,,,,,,,,,,,,,
Bike Racks,YAW (Youth Art Works),2008,YAW Train Bike Rack,180 N. Virginia Street,http://www.reno.gov/Home/ShowImage?id=6364&t,,,,,,,,,,,,,,,,,,,,
Bike Racks,YAW (Youth Art Works),2008,YAW Fish Bike Rack,Riverwalk - 1 S. Sierra Street,http://www.reno.gov/Home/ShowImage?id=4035&t,,,,,,,,,,,,,,,,,,,,
Bike Racks,YAW (Youth Art Works),2008,YAW Jester Bike Rack,West Street Market - 144 West Street,http://www.reno.gov/Home/ShowImage?id=4039&t,,,,,,,,,,,,,,,,,,,,
Bike Racks,Reno Bike Project,2008,4 Cycle Hitch,City Hall -1 East 1st Street,http://www.reno.gov/Home/ShowImage?id=6358&t,,,,,,,,,,,,,,,,,,,,
