Pole,# Cash,$ Cash,# Credit,$ Credit,# Smart Card,$ Smart Card
E10100,481.00,304.70,56.00,75.25,0.00,0.00
E10101,404.00,251.05,48.00,62.50,0.00,0.00
E10102,414.00,260.90,41.00,58.50,0.00,0.00
E10103,503.00,322.65,23.00,30.00,0.00,0.00
E10104,350.00,214.75,54.00,80.25,0.00,0.00
E10105,463.00,297.40,37.00,48.75,0.00,0.00
E10106,270.00,161.15,40.00,64.50,0.00,0.00
E10107,382.00,256.90,47.00,60.50,0.00,0.00
E10108,310.00,200.20,33.00,45.50,0.00,0.00
E10109,484.00,309.95,37.00,47.50,0.00,0.00
E10110,301.00,215.85,41.00,58.00,0.00,0.00
E10111,473.00,319.10,54.00,72.75,0.00,0.00
E10112,254.00,174.35,27.00,36.50,0.00,0.00
E10113,396.00,281.45,87.00,136.00,0.00,0.00
E10114,255.00,172.65,45.00,58.25,0.00,0.00
E10115,317.00,225.60,44.00,66.00,0.00,0.00
E10116,291.00,220.40,62.00,89.25,0.00,0.00
E10118,350.00,237.85,67.00,97.00,0.00,0.00
E10120,309.00,211.95,50.00,61.25,0.00,0.00
E20019,556.00,387.40,65.00,103.25,0.00,0.00
E20021,584.00,374.90,59.00,83.25,0.00,0.00
E20023,396.00,267.40,52.00,76.75,0.00,0.00
E20025,480.00,330.00,48.00,70.25,0.00,0.00
E20108,"1,035.00",561.25,42.00,51.00,0.00,0.00
E20110,755.00,392.10,38.00,46.75,0.00,0.00
E20112,948.00,567.90,67.00,83.75,0.00,0.00
E20216,393.00,267.20,55.00,68.25,0.00,0.00
E20218,371.00,276.15,39.00,52.75,0.00,0.00
E20220,275.00,214.70,33.00,49.25,0.00,0.00
E20222,172.00,135.35,20.00,26.25,0.00,0.00
E20224,215.00,152.35,29.00,38.75,0.00,0.00
E20226,326.00,198.35,40.00,53.00,0.00,0.00
E20237,416.00,312.15,46.00,57.25,0.00,0.00
E20239,335.00,248.95,35.00,51.50,0.00,0.00
E20241,299.00,224.70,45.00,60.75,0.00,0.00
E20243,214.00,163.30,37.00,53.75,0.00,0.00
E20245,257.00,187.05,36.00,55.75,0.00,0.00
LAK0027,293.00,223.65,56.00,76.75,0.00,0.00
LAK0030,219.00,167.00,36.00,54.50,0.00,0.00
LAK0031,251.00,181.00,44.00,60.00,0.00,0.00
LAK0034,172.00,120.25,34.00,49.25,0.00,0.00
LAK0035,225.00,166.00,36.00,48.75,0.00,0.00
LAK0038,106.00,73.90,14.00,20.25,0.00,0.00
LAK0039,137.00,101.75,26.00,36.25,0.00,0.00
LAK0042,99.00,74.75,24.00,34.75,0.00,0.00
LAK0043,192.00,149.10,38.00,55.50,0.00,0.00
LAK0047,169.00,136.95,31.00,43.50,0.00,0.00
LAK0051,163.00,128.25,29.00,43.75,0.00,0.00
LAK0065,106.00,76.65,15.00,21.25,0.00,0.00
LAK0066,174.00,117.80,20.00,32.50,0.00,0.00
LAK0067,95.00,68.10,12.00,19.25,0.00,0.00
LAK0069,145.00,108.70,18.00,29.50,0.00,0.00
LAK0070,118.00,80.80,16.00,24.25,0.00,0.00
LAK0071,126.00,91.30,19.00,28.50,0.00,0.00
LAK0074,82.00,62.00,11.00,15.00,0.00,0.00
LAK0078,116.00,94.80,17.00,27.75,0.00,0.00
SCE0103,595.00,302.90,35.00,51.25,0.00,0.00
SCE0105A,620.00,328.90,46.00,55.50,0.00,0.00
SCE0107A,623.00,328.40,44.00,56.25,0.00,0.00
