Pole,# Cash,$ Cash,# Credit,$ Credit,# Smart Card,$ Smart Card
SSI0140,825.00,548.90,100.00,176.75,0.00,0.00
SSI0142,758.00,519.50,115.00,197.00,0.00,0.00
SSI0144,836.00,510.85,85.00,146.50,0.00,0.00
SSI0145,709.00,485.25,113.00,288.75,0.00,0.00
SSI0146,789.00,530.30,79.00,192.50,0.00,0.00
SSI0147,693.00,470.00,83.00,142.50,0.00,0.00
SSI0148,693.00,494.25,119.00,162.75,0.00,0.00
SSI0149,815.00,557.95,79.00,142.25,0.00,0.00
SSI0150,678.00,478.40,87.00,170.50,0.00,0.00
SSI0151,827.00,546.95,98.00,159.50,0.00,0.00
SSI0152,636.00,438.85,90.00,177.50,0.00,0.00
SSI0154,600.00,456.60,79.00,204.00,0.00,0.00
SSI0156,560.00,396.20,71.00,133.25,0.00,0.00
SSI0226,492.00,387.30,74.00,153.50,0.00,0.00
SSI0228,482.00,376.10,61.00,131.50,0.00,0.00
SSI0229,790.00,498.25,73.00,131.75,0.00,0.00
SSI0230,422.00,296.60,75.00,169.75,0.00,0.00
SSI0231,551.00,372.40,71.00,123.75,0.00,0.00
SSI0232,391.00,302.00,47.00,91.50,0.00,0.00
SSI0233,630.00,440.85,78.00,124.50,0.00,0.00
SSI0234,365.00,242.50,46.00,92.00,0.00,0.00
SSI0235,492.00,363.00,83.00,156.75,0.00,0.00
SSI0236,346.00,282.15,53.00,105.75,0.00,0.00
SSI0237,569.00,425.80,96.00,163.00,0.00,0.00
SSI0238,335.00,272.75,54.00,98.75,0.00,0.00
SSI0239,582.00,429.90,90.00,135.00,0.00,0.00
SSI0240,221.00,139.45,37.00,65.75,0.00,0.00
SSI0310,256.00,219.70,44.00,82.00,0.00,0.00
SSI0312,268.00,243.60,34.00,70.75,0.00,0.00
SSI0314,193.00,171.05,25.00,60.75,0.00,0.00
SSI0316,107.00,95.40,16.00,34.50,0.00,0.00
SSI0317,260.00,228.90,49.00,81.75,0.00,0.00
SSI0318,71.00,56.65,13.00,24.25,0.00,0.00
SSI0319,152.00,134.80,33.00,58.50,0.00,0.00
SSI0320,102.00,93.75,24.00,40.00,0.00,0.00
SSI0321,98.00,81.45,21.00,42.25,0.00,0.00
SSI0322,124.00,100.70,20.00,31.50,0.00,0.00
SSI0323,100.00,95.35,24.00,43.25,0.00,0.00
SSI0325,82.00,72.25,10.00,20.75,0.00,0.00
SSI0327,102.00,88.00,31.00,49.00,0.00,0.00
SSI0329,74.00,59.10,14.00,25.00,0.00,0.00
SSI0418,506.00,326.95,67.00,93.00,0.00,0.00
SSI0420,505.00,341.75,64.00,77.25,0.00,0.00
SSI0421,364.00,243.60,54.00,73.50,0.00,0.00
SSI0423,436.00,291.90,63.00,88.75,0.00,0.00
SSI0425,417.00,298.30,56.00,79.25,0.00,0.00
SSI0427,422.00,305.25,50.00,69.75,0.00,0.00
SSI0429,519.00,372.00,87.00,123.25,0.00,0.00
SSI0434,549.00,364.85,73.00,96.25,0.00,0.00
SSI0436,561.00,368.05,68.00,86.50,0.00,0.00
SSI0438,508.00,287.45,62.00,85.75,0.00,0.00
