Pole,# Cash,$ Cash,# Credit,$ Credit,# Smart Card,$ Smart Card
ARL0520,16.00,10.20,1.00,1.00,0.00,0.00
ARL0522,16.00,12.35,2.00,3.00,0.00,0.00
ARL0524,66.00,44.20,5.00,8.00,0.00,0.00
ARL0526,74.00,68.65,0.00,0.00,0.00,0.00
ARL0527,68.00,48.05,8.00,10.75,0.00,0.00
ARL0528,118.00,98.70,19.00,29.75,0.00,0.00
ARL0529,43.00,37.60,8.00,11.50,0.00,0.00
ARL0530,260.00,207.70,21.00,31.50,0.00,0.00
ARL0531,72.00,54.75,11.00,17.25,0.00,0.00
ARL0532,301.00,231.55,30.00,38.50,0.00,0.00
ARL0533,66.00,40.05,15.00,20.50,0.00,0.00
ARL0534,311.00,233.30,34.00,47.25,0.00,0.00
ARL0535,181.00,155.30,20.00,33.25,0.00,0.00
ARL0536,402.00,312.35,29.00,43.75,0.00,0.00
ARL0537,271.00,206.40,38.00,52.50,0.00,0.00
ARL0538,363.00,251.20,32.00,45.25,0.00,0.00
ARL0539,234.00,179.45,21.00,30.50,0.00,0.00
ARL0540,593.00,433.40,51.00,74.75,0.00,0.00
ARL0541,303.00,241.00,40.00,55.00,0.00,0.00
ARL0543,284.00,203.85,36.00,49.00,0.00,0.00
ARL0545,494.00,364.80,45.00,61.00,0.00,0.00
ELM0101,22.00,13.70,4.00,6.50,0.00,0.00
ELM0103,4.00,2.25,0.00,0.00,0.00,0.00
ELM0105,16.00,5.90,2.00,2.50,0.00,0.00
ELM0107,10.00,6.75,1.00,1.00,0.00,0.00
ELM0109,10.00,6.15,4.00,6.00,0.00,0.00
ELM0111,13.00,13.65,4.00,7.00,0.00,0.00
ELM0113,12.00,13.60,3.00,5.00,0.00,0.00
ELM0115,26.00,25.00,7.00,12.00,0.00,0.00
ELM0117,44.00,39.55,10.00,14.50,0.00,0.00
W60061,95.00,55.80,2.00,2.00,0.00,0.00
W60063,61.00,35.95,7.00,9.50,0.00,0.00
W60065,165.00,94.85,3.00,4.50,0.00,0.00
W60067,154.00,90.60,4.00,6.25,0.00,0.00
W60112,79.00,35.25,4.00,4.00,0.00,0.00
W60114,280.00,196.15,21.00,34.50,0.00,0.00
W60116,236.00,161.50,18.00,26.50,0.00,0.00
W60118,219.00,147.40,18.00,28.00,0.00,0.00
W60120,159.00,114.10,15.00,22.75,0.00,0.00
W60122,219.00,146.65,10.00,12.50,0.00,0.00
W60124,169.00,102.75,8.00,9.00,0.00,0.00
W60125,113.00,63.15,17.00,28.00,0.00,0.00
W60126,141.00,77.85,8.00,12.50,0.00,0.00
W60127,52.00,32.00,10.00,17.00,0.00,0.00
W60128,141.00,76.20,11.00,18.00,0.00,0.00
W60129,108.00,70.45,20.00,26.75,0.00,0.00
W60130,235.00,97.40,8.00,13.25,0.00,0.00
W60131,131.00,83.45,11.00,15.00,0.00,0.00
W60132,327.00,117.95,7.00,10.00,0.00,0.00
W60134,158.00,56.90,8.00,10.75,0.00,0.00
W60225,421.00,294.50,73.00,108.00,0.00,0.00
W60227,369.00,245.85,39.00,58.00,0.00,0.00
W60229,436.00,289.10,62.00,89.00,0.00,0.00
W60231,544.00,373.80,54.00,80.00,0.00,0.00
W60233,531.00,329.95,42.00,60.25,0.00,0.00
W60235,585.00,382.75,60.00,82.00,0.00,0.00
W60237,627.00,416.75,62.00,87.00,0.00,0.00
W60239,720.00,512.25,48.00,72.25,0.00,0.00
W60244,374.00,257.55,33.00,46.50,0.00,0.00
W60246,329.00,217.70,36.00,47.75,0.00,0.00
W60248,429.00,295.05,33.00,45.50,0.00,0.00
W60250,532.00,343.20,31.00,44.25,0.00,0.00
W60252,740.00,462.50,57.00,75.50,0.00,0.00
W60254,560.00,350.50,49.00,69.00,0.00,0.00
W60256,636.00,380.50,45.00,62.75,0.00,0.00
W60258,520.00,327.20,46.00,59.00,0.00,0.00
W60260,621.00,397.35,49.00,68.00,0.00,0.00
W60301,746.00,510.00,69.00,95.75,0.00,0.00
W60303,707.00,500.40,64.00,85.25,0.00,0.00
W60305,706.00,503.75,67.00,89.25,0.00,0.00
W60306,635.00,453.25,45.00,62.75,0.00,0.00
W60307,687.00,496.80,66.00,82.75,0.00,0.00
W60308,518.00,365.85,56.00,73.50,0.00,0.00
W60309,793.00,521.50,69.00,90.25,0.00,0.00
W60310,525.00,397.35,56.00,75.50,0.00,0.00
W60311,793.00,537.40,79.00,103.50,0.00,0.00
W60312,536.00,397.45,44.00,57.00,0.00,0.00
W60313,617.00,467.45,80.00,104.50,0.00,0.00
W60314,594.00,420.75,45.00,60.25,0.00,0.00
W60315,633.00,446.40,68.00,99.75,0.00,0.00
W60316,556.00,398.00,50.00,71.00,0.00,0.00
W60317,657.00,467.90,70.00,98.50,0.00,0.00
W60318,551.00,400.20,57.00,69.25,0.00,0.00
W60320,574.00,413.20,52.00,55.50,0.00,0.00
W60322,571.00,409.10,67.00,92.00,0.00,0.00
W60324,628.00,438.30,57.00,76.75,0.00,0.00
W60326,659.00,463.25,56.00,75.75,0.00,0.00
W60328,645.00,441.65,55.00,72.00,0.00,0.00
W60330,671.00,428.45,55.00,74.75,0.00,0.00
W60332,619.00,445.85,44.00,57.00,0.00,0.00
W60334,623.00,418.10,72.00,98.50,0.00,0.00
W60336,613.00,399.25,52.00,68.50,0.00,0.00
W60338,587.00,407.95,45.00,60.00,0.00,0.00
W60340,561.00,399.00,67.00,90.00,0.00,0.00
WES00507,142.00,84.50,11.00,16.25,0.00,0.00
WES00509,209.00,137.25,16.00,24.25,0.00,0.00
WES0309A,0.00,0.00,0.00,0.00,0.00,0.00
WES0327,15.00,16.70,0.00,0.00,0.00,0.00
WES0502,121.00,79.50,17.00,21.50,0.00,0.00
WES0505,188.00,132.65,12.00,17.00,0.00,0.00
WES0511,172.00,118.05,24.00,37.75,0.00,0.00
WES0513,205.00,128.70,24.00,33.00,0.00,0.00
WES0515,149.00,106.30,15.00,22.50,0.00,0.00
WES0517,142.00,95.25,19.00,25.75,0.00,0.00
WES0519,177.00,128.75,6.00,10.75,0.00,0.00
WES0601,126.00,96.80,7.00,10.25,0.00,0.00
WES0602,103.00,72.30,20.00,31.25,0.00,0.00
WES0603,152.00,110.30,12.00,19.00,0.00,0.00
