Pole,# Cash,$ Cash,# Credit,$ Credit,# Smart Card,$ Smart Card
WES0604,75.00,57.45,8.00,12.00,0.00,0.00
WES0605,103.00,77.95,12.00,18.50,0.00,0.00
WES0606,135.00,96.35,22.00,29.50,0.00,0.00
WES0607,116.00,91.30,12.00,21.00,0.00,0.00
WES0608,60.00,51.00,13.00,20.50,0.00,0.00
WES0610,41.00,35.75,11.00,20.25,0.00,0.00
WES0611,182.00,134.80,29.00,47.00,0.00,0.00
WES0612,37.00,32.60,1.00,1.75,0.00,0.00
WES0613,89.00,70.55,12.00,19.50,0.00,0.00
WES0614,49.00,35.25,6.00,11.25,0.00,0.00
WES0615,47.00,33.90,7.00,13.50,0.00,0.00
WES0616,29.00,21.65,4.00,7.00,0.00,0.00
WES0617,83.00,63.90,2.00,4.00,0.00,0.00
WES0618,31.00,25.20,4.00,7.00,0.00,0.00
WES0619,19.00,13.50,0.00,0.00,0.00,0.00
WES0620,18.00,11.50,1.00,1.00,0.00,0.00
WES0621,35.00,22.15,2.00,3.25,0.00,0.00
WES0622,57.00,44.40,12.00,18.50,0.00,0.00
WES0623,18.00,12.95,1.00,2.00,0.00,0.00
WES0625,18.00,9.35,3.00,5.50,0.00,0.00
WES0629,30.00,23.65,3.00,5.50,0.00,0.00
WES0631,44.00,31.40,14.00,23.00,0.00,0.00
WES0633,31.00,20.65,6.00,10.75,0.00,0.00
