Pole,# Cash,$ Cash,# Credit,$ Credit,# Smart Card,$ Smart Card
COM0007,326.00,240.15,78.00,133.50,0.00,0.00
COM0010,543.00,345.90,123.00,199.00,0.00,0.00
COM0011,264.00,192.65,41.00,62.75,0.00,0.00
COM0014,486.00,343.80,76.00,114.50,0.00,0.00
COM0015,328.00,236.35,42.00,70.00,0.00,0.00
COM0018,528.00,397.50,93.00,136.50,0.00,0.00
COM0019,225.00,164.40,37.00,54.50,0.00,0.00
COM0022,409.00,310.10,49.00,62.00,0.00,0.00
COM0023,251.00,185.60,34.00,51.00,0.00,0.00
COM0026,455.00,279.95,82.00,115.75,0.00,0.00
COM0027,147.00,108.90,23.00,32.25,0.00,0.00
COM0030,263.00,185.45,42.00,62.25,0.00,0.00
COM0031,116.00,75.90,18.00,28.25,0.00,0.00
COM0034,301.00,190.90,49.00,75.75,0.00,0.00
COM0035,54.00,36.60,7.00,12.75,0.00,0.00
COM0038,163.00,124.30,29.00,41.75,0.00,0.00
COM0039,84.00,53.35,9.00,15.00,0.00,0.00
COM0042,166.00,117.85,23.00,39.75,0.00,0.00
COM0043,148.00,114.15,12.00,20.50,0.00,0.00
COM0046,254.00,195.40,33.00,59.50,0.00,0.00
COM0108,363.00,275.15,42.00,61.00,0.00,0.00
COM0110,398.00,286.40,33.00,51.50,0.00,0.00
COM0112,362.00,255.70,43.00,65.75,0.00,0.00
COM0114,303.00,209.40,31.00,42.50,0.00,0.00
COM0116,285.00,207.40,32.00,46.00,0.00,0.00
COM0118,263.00,169.85,32.00,50.00,0.00,0.00
COM0120,199.00,138.40,24.00,32.75,0.00,0.00
COM0121,320.00,264.90,18.00,26.00,0.00,0.00
COM0122,153.00,101.15,34.00,52.50,0.00,0.00
COM0123,345.00,227.20,24.00,31.50,0.00,0.00
COM0124,176.00,112.25,14.00,20.75,0.00,0.00
COM0125,323.00,173.15,37.00,51.25,0.00,0.00
COM0126,220.00,157.60,25.00,35.00,0.00,0.00
COM0127,461.00,219.90,26.00,33.00,0.00,0.00
COM0129,367.00,175.45,20.00,25.50,0.00,0.00
COM0131,403.00,195.05,34.00,44.00,0.00,0.00
COM0133,277.00,152.40,28.00,36.50,0.00,0.00
COM0135,233.00,125.60,17.00,20.50,0.00,0.00
COM0137,211.00,112.20,26.00,36.75,0.00,0.00
COM0139,185.00,100.45,11.00,12.25,0.00,0.00
COM0141,155.00,95.60,18.00,23.75,0.00,0.00
COM0143,166.00,86.70,19.00,23.75,0.00,0.00
COM0145,119.00,76.95,13.00,16.50,0.00,0.00
COM0147,181.00,89.55,18.00,23.50,0.00,0.00
E40004,528.00,306.80,35.00,52.25,0.00,0.00
E40008,319.00,187.05,45.00,72.25,0.00,0.00
E40012,464.00,302.45,32.00,48.75,0.00,0.00
E50021,510.00,297.40,38.00,50.25,0.00,0.00
E50022,842.00,478.00,50.00,62.00,0.00,0.00
E50023,418.00,258.25,43.00,55.75,0.00,0.00
E50025,450.00,282.45,15.00,21.25,0.00,0.00
E50026,634.00,371.20,46.00,57.75,0.00,0.00
E50027,367.00,237.90,39.00,56.50,0.00,0.00
E50029,213.00,129.00,37.00,51.75,0.00,0.00
E50030,0.00,0.00,0.00,0.00,0.00,0.00
E50031,154.00,108.05,24.00,37.25,0.00,0.00
E50125,108.00,64.00,22.00,33.00,0.00,0.00
E50127,70.00,47.50,16.00,22.50,0.00,0.00
E50129,71.00,49.45,20.00,30.00,0.00,0.00
E50131,88.00,72.05,17.00,30.50,0.00,0.00
E50133,91.00,75.75,15.00,24.00,0.00,0.00
E50135,109.00,80.50,11.00,15.75,0.00,0.00
E50137,63.00,55.95,11.00,18.25,0.00,0.00
E50139,69.00,53.55,16.00,28.00,0.00,0.00
LAK0319,264.00,166.30,31.00,42.50,0.00,0.00
LAK0321,143.00,92.10,26.00,40.75,0.00,0.00
LAK0323,160.00,94.45,24.00,37.25,0.00,0.00
LAK0325,205.00,137.30,19.00,28.00,0.00,0.00
LAK0400,121.00,77.10,11.00,16.50,0.00,0.00
