Pole,# Cash,$ Cash,# Credit,$ Credit,# Smart Card,$ Smart Card
LAK0402,117.00,81.40,15.00,21.75,0.00,0.00
LAK0404,73.00,49.15,13.00,21.50,0.00,0.00
LAK0406,47.00,30.90,13.00,20.50,0.00,0.00
LAK0408,64.00,50.50,12.00,16.75,0.00,0.00
LAK0410,54.00,47.15,17.00,29.25,0.00,0.00
LAK0500,33.00,25.35,12.00,19.50,0.00,0.00
LAK0502,55.00,39.45,9.00,16.75,0.00,0.00
LAK0504,60.00,43.20,9.00,14.50,0.00,0.00
LAK0506,97.00,59.45,8.00,11.25,0.00,0.00
LAK0508,0.00,0.00,0.00,0.00,0.00,0.00
LAK0510,0.00,0.00,0.00,0.00,0.00,0.00
LAK0512,0.00,0.00,0.00,0.00,0.00,0.00
LAK0513,36.00,33.40,4.00,6.00,0.00,0.00
LAK0514,0.00,0.00,0.00,0.00,0.00,0.00
LAK0515,53.00,43.40,12.00,23.50,0.00,0.00
LAK0516,0.00,0.00,0.00,0.00,0.00,0.00
LAK0517,34.00,26.90,12.00,20.25,0.00,0.00
LAK0518,0.00,0.00,0.00,0.00,0.00,0.00
LAK0519,36.00,25.80,14.00,24.25,0.00,0.00
LAK0520,0.00,0.00,0.00,0.00,0.00,0.00
LAK0521,19.00,14.35,7.00,12.00,0.00,0.00
LAK0523,45.00,34.95,13.00,21.75,0.00,0.00
LAK0525,68.00,46.00,3.00,6.00,0.00,0.00
LAK0527,51.00,31.50,4.00,5.75,0.00,0.00
PLA0013,473.00,280.85,36.00,59.00,0.00,0.00
PLA0014,232.00,152.30,14.00,21.50,0.00,0.00
PLA0015,0.00,0.00,0.00,0.00,0.00,0.00
