Pole,# Cash,$ Cash,# Credit,$ Credit,# Smart Card,$ Smart Card
W10404,395.00,292.40,62.00,97.25,0.00,0.00
W10408,443.00,313.45,65.00,99.75,0.00,0.00
W10409,132.00,101.55,27.00,40.00,0.00,0.00
W10412,404.00,277.20,57.00,86.75,0.00,0.00
W10413,110.00,86.75,23.00,33.75,0.00,0.00
W10416,373.00,272.75,61.00,81.25,0.00,0.00
W10417,193.00,143.95,27.00,41.00,0.00,0.00
W10420,359.00,250.40,54.00,80.00,0.00,0.00
W10421,175.00,125.65,20.00,28.50,0.00,0.00
W10424,321.00,224.15,42.00,64.25,0.00,0.00
W10428,292.00,223.00,48.00,70.50,0.00,0.00
W10432,299.00,206.85,53.00,72.00,0.00,0.00
W10436,323.00,216.50,36.00,49.25,0.00,0.00
W10440,288.00,212.80,46.00,66.75,0.00,0.00
W10444,261.00,184.80,44.00,65.50,0.00,0.00
W10448,295.00,208.70,40.00,58.75,0.00,0.00
W10452,271.00,196.85,40.00,63.25,0.00,0.00
W10456,312.00,221.90,34.00,47.25,0.00,0.00
W10460,241.00,165.85,31.00,48.50,0.00,0.00
W10464,192.00,134.40,35.00,58.75,0.00,0.00
W10468,163.00,124.35,31.00,47.25,0.00,0.00
W10472,205.00,153.30,36.00,52.00,0.00,0.00
W10476,205.00,131.20,25.00,38.00,0.00,0.00
W20021,629.00,400.35,61.00,84.00,0.00,0.00
W20022,461.00,258.85,39.00,52.00,0.00,0.00
W20024,393.00,227.50,51.00,72.75,0.00,0.00
W20025,567.00,357.25,57.00,80.50,0.00,0.00
W20026,589.00,368.90,52.00,79.25,0.00,0.00
W20028,482.00,302.75,46.00,74.50,0.00,0.00
W20029,509.00,320.65,36.00,50.75,0.00,0.00
W20033,472.00,307.55,46.00,62.50,0.00,0.00
W20037,571.00,372.55,63.00,87.25,0.00,0.00
W20101,617.00,443.35,99.00,137.00,0.00,0.00
W20103,665.00,482.75,102.00,146.00,0.00,0.00
W20105,563.00,405.85,86.00,130.75,0.00,0.00
W20107,422.00,301.55,67.00,93.75,0.00,0.00
W20109,440.00,314.90,73.00,108.00,0.00,0.00
W20112,760.00,520.75,61.00,80.25,0.00,0.00
W20116,653.00,440.35,65.00,95.25,0.00,0.00
W20120,647.00,446.25,50.00,68.25,0.00,0.00
W20124,289.00,195.80,35.00,49.50,0.00,0.00
W20128,434.00,288.50,50.00,73.75,0.00,0.00
W20132,495.00,332.50,60.00,91.50,0.00,0.00
W20136,521.00,320.90,63.00,89.25,0.00,0.00
W20205,272.00,200.20,34.00,50.75,0.00,0.00
W20209,382.00,302.60,20.00,26.75,0.00,0.00
W20214,489.00,334.30,64.00,92.25,0.00,0.00
W20218,284.00,213.60,47.00,68.50,0.00,0.00
W20222,274.00,208.75,46.00,69.25,0.00,0.00
W20226,202.00,152.05,35.00,49.75,0.00,0.00
W20230,251.00,176.60,53.00,73.75,0.00,0.00
W20234,283.00,199.35,49.00,65.75,0.00,0.00
WES0105,533.00,380.70,103.00,148.50,0.00,0.00
WES0106,553.00,372.35,92.00,138.25,0.00,0.00
WES0109,554.00,359.85,90.00,139.50,0.00,0.00
WES0110,619.00,417.00,101.00,141.75,0.00,0.00
WES0113,472.00,323.65,91.00,106.25,0.00,0.00
WES0114,556.00,355.70,83.00,118.50,0.00,0.00
WES0117,483.00,335.15,90.00,125.75,0.00,0.00
WES0118,567.00,355.25,90.00,130.75,0.00,0.00
WES0121,439.00,308.00,89.00,135.25,0.00,0.00
WES0122,450.00,304.00,62.00,90.25,0.00,0.00
WES0125,382.00,255.70,77.00,112.25,0.00,0.00
WES0126,485.00,330.30,84.00,121.25,0.00,0.00
