Pole,# Cash,$ Cash,# Credit,$ Credit,# Smart Card,$ Smart Card
ARL0136,395.00,326.00,55.00,85.50,0.00,0.00
ARL0140,396.00,324.90,56.00,89.25,0.00,0.00
ARL0144,354.00,298.60,64.00,92.25,0.00,0.00
ARL0148,419.00,308.35,60.00,89.00,0.00,0.00
ARL0152,383.00,263.40,86.00,130.50,0.00,0.00
ROF0108,531.00,424.60,176.00,283.25,0.00,0.00
ROF0112,422.00,308.45,161.00,259.25,0.00,0.00
ROF0114,420.00,313.75,149.00,236.50,0.00,0.00
ROF0117,336.00,232.05,189.00,304.50,0.00,0.00
ROF0118,337.00,242.20,185.00,304.50,0.00,0.00
ROF0119,313.00,251.80,147.00,246.25,0.00,0.00
ROF0120,409.00,295.25,147.00,231.00,0.00,0.00
ROF0121,286.00,209.45,116.00,195.25,0.00,0.00
ROF0122,405.00,301.85,158.00,256.75,0.00,0.00
ROF0123,197.00,143.05,79.00,133.50,0.00,0.00
ROF0124,374.00,299.35,139.00,218.75,0.00,0.00
ROF0125,367.00,286.65,99.00,149.25,0.00,0.00
ROF0126,208.00,166.65,77.00,118.50,0.00,0.00
ROF0127,260.00,208.65,81.00,120.00,0.00,0.00
ROF0128,254.00,193.45,70.00,110.25,0.00,0.00
ROF0129,197.00,153.80,70.00,110.75,0.00,0.00
ROF0130,196.00,149.80,57.00,84.25,0.00,0.00
ROF0131,197.00,159.30,54.00,81.00,0.00,0.00
ROF0132,194.00,155.50,47.00,69.50,0.00,0.00
ROF0133,165.00,120.90,45.00,71.00,0.00,0.00
ROF0134,155.00,108.55,50.00,76.75,0.00,0.00
ROF0135,110.00,83.55,24.00,34.00,0.00,0.00
SIE0116,658.00,464.15,111.00,168.50,0.00,0.00
SIE0118,711.00,414.45,91.00,133.75,0.00,0.00
SIE0120,739.00,444.90,88.00,124.50,0.00,0.00
SIE0122,714.00,401.15,73.00,106.75,0.00,0.00
SIE0124,806.00,407.35,70.00,105.00,0.00,0.00
SIE0126,693.00,359.60,70.00,101.50,0.00,0.00
SIE0131,879.00,429.30,92.00,132.00,0.00,0.00
SIE0133,717.00,351.40,64.00,91.50,0.00,0.00
SIE0135,728.00,343.15,69.00,90.00,0.00,0.00
STE0104,112.00,77.80,16.00,24.75,0.00,0.00
STE0108,81.00,66.40,15.00,23.00,0.00,0.00
STE0112,88.00,59.90,9.00,12.25,0.00,0.00
STE01127,564.00,221.25,13.00,15.00,0.00,0.00
STE0115,179.00,91.50,10.00,15.50,0.00,0.00
STE0116,132.00,85.30,18.00,25.75,0.00,0.00
STE0119,654.00,277.15,15.00,19.50,0.00,0.00
STE0120,166.00,94.55,9.00,13.75,0.00,0.00
STE0123,679.00,279.90,19.00,24.00,0.00,0.00
STE0124,258.00,115.40,14.00,19.25,0.00,0.00
STE0128,169.00,91.25,14.00,22.25,0.00,0.00
STE0131,165.00,86.00,11.00,15.75,0.00,0.00
STE0132,72.00,52.90,6.00,7.50,0.00,0.00
STE0135,57.00,34.05,4.00,5.50,0.00,0.00
STE0136,69.00,55.50,11.00,15.00,0.00,0.00
STE0200,49.00,40.95,6.00,7.00,0.00,0.00
STE0204,75.00,47.90,9.00,13.50,0.00,0.00
STE0205,30.00,24.75,4.00,6.75,0.00,0.00
STE0208,124.00,76.80,12.00,18.00,0.00,0.00
STE0209,26.00,26.85,9.00,12.00,0.00,0.00
STE0212,153.00,103.45,9.00,14.50,0.00,0.00
STE0213,39.00,27.55,5.00,7.00,0.00,0.00
STE0217,66.00,33.75,6.00,9.75,0.00,0.00
W10278,675.00,451.65,80.00,118.50,0.00,0.00
W10280,645.00,438.65,102.00,146.25,0.00,0.00
W10282,655.00,464.70,91.00,133.50,0.00,0.00
W10284,704.00,478.15,92.00,137.75,0.00,0.00
W10286,632.00,456.35,103.00,157.75,0.00,0.00
W10288,698.00,519.10,116.00,169.00,0.00,0.00
W10289,822.00,547.40,95.00,124.75,0.00,0.00
W10290,650.00,542.50,129.00,188.25,0.00,0.00
W10291,713.00,489.75,141.00,191.75,0.00,0.00
W10292,604.00,480.35,143.00,211.00,0.00,0.00
W10293,616.00,455.20,82.00,117.00,0.00,0.00
W10303,420.00,319.05,76.00,111.75,0.00,0.00
W10305,317.00,236.50,60.00,89.75,0.00,0.00
W10307,371.00,288.65,47.00,69.75,0.00,0.00
W10309,340.00,255.50,51.00,75.75,0.00,0.00
W10311,414.00,281.05,43.00,63.00,0.00,0.00
W10313,278.00,196.75,37.00,52.50,0.00,0.00
W10315,357.00,260.00,58.00,86.75,0.00,0.00
W10400,483.00,337.50,55.00,79.25,0.00,0.00
