Area ,Zone ,JAN,FEB,MAR,APR,MAY,JUN
North East One,Zone 1,148.2,825.35,"3,071.70","4,650.85","4,151.35","3,988.45"
East Central Two ,Zone 2,0,855.85,"3,466.85","4,087.20","4,052.10","3,835.75"
South East Three,Zone 3,0,"1,812.70","7,158.00","8,208.30","7,833.35","7,674.70"
South West Four,Zone 4,0,"4,715.15","16,660.50","18,261.60","19,247.25","19,081.55"
West Central Suburban Five,Zone 5,0,"3,243.10","10,661.70","11,497.20","11,890.45","13,094.15"
West Central Six,Zone 6,0,248.65,890.7,843.55,"1,108.05","1,386.70"
North West Seven,Zone 7,0,"2,365.20","6,979.75","7,183.90","6,960.00","6,973.20"
